% of Net Assets,Ticker,Name,SEDOL,Market Price ($),Shares Held,Market Value ($),Date
6.55,DXCM,DEXCOM INC,B0796X4,90.79,"240,184.00","21,806,305.36",8/16/2022
6.22,SWKS,SKYWORKS SOLUTIONS INC,2961053,111.27,"186,064.00","20,703,341.28",8/16/2022
5.88,STM FP,STMICROELECTRONICS NV,5962332,38.24,"512,181.00","19,587,976.19",8/16/2022
5.32,GRMN,GARMIN LTD,B3Z5T14,99.59,"178,077.00","17,734,688.43",8/16/2022
5.14,2395 TT,ADVANTECH CO LTD,6202673,11.41,"1,501,121.00","17,135,227.80",8/16/2022
4.58,ST,SENSATA TECHNOLO,BFMBMT8,45.56,"334,874.00","15,256,859.44",8/16/2022
4.48,ADT,ADT INC,BFWCP81,8.21,"1,817,004.00","14,917,602.84",8/16/2022
3.39,SLAB,SILICON LABORATORIES INC,2568131,144.54,"78,060.00","11,282,792.40",8/16/2022
2.46,ALRM,ALARM.COM HOLDINGS INC,BYN7H26,76.38,"107,072.00","8,178,159.36",8/16/2022
2.24,3529 TT,EMEMORY TECHNOLOGY INC,B2PXYH2,45.33,"164,582.00","7,459,931.68",8/16/2022
2.22,AMBA,AMBARELLA INC,B7KH3G6,90.86,"81,290.00","7,386,009.40",8/16/2022
2.13,JCI,JOHNSON CONTROLS,BY7QL61,59,"120,073.00","7,084,307.00",8/16/2022
2.1,QCOM,QUALCOMM INC,2714923,150.03,"46,622.00","6,994,698.66",8/16/2022
2.07,ADI,ANALOG DEVICES INC,2032067,179.04,"38,590.00","6,909,153.60",8/16/2022
2.07,NOD NO,NORDIC SEMICONDUCTOR ASA,B00ZG06,16.75,"412,402.00","6,906,335.18",8/16/2022
2.03,NXPI,NXP SEMICONDUCTORS NV,B505PN7,185.85,"36,299.00","6,746,169.15",8/16/2022
1.99,SU FP,SCHNEIDER ELECTRIC SE,4834108,138.89,"47,741.00","6,630,680.95",8/16/2022
1.97,ABBN SW,ABB LTD-REG,7108899,30.5,"215,200.00","6,564,426.21",8/16/2022
1.97,RMBS,RAMBUS INC,2721967,27.93,"235,007.00","6,563,745.51",8/16/2022
1.97,BDC,BELDEN INC,B01WL78,69.4,"94,359.00","6,548,514.60",8/16/2022
1.96,EMR,EMERSON ELECTRIC CO,2313405,89.95,"72,610.00","6,531,269.50",8/16/2022
1.96,HON,HONEYWELL INTL,2020459,203.67,"32,061.00","6,529,863.87",8/16/2022
1.92,BMI,BADGER METER INC,2069128,102.42,"62,536.00","6,404,937.12",8/16/2022
1.84,CSCO,CISCO SYSTEMS INC,2198163,46.77,"130,747.00","6,115,037.19",8/16/2022
1.7,IBM,IBM,2005973,136.56,"41,557.00","5,675,023.92",8/16/2022
1.57,PI,IMPINJ INC,BYYGJZ9,96.56,"54,073.00","5,221,288.88",8/16/2022
1.55,ITRI,ITRON INC,2471949,53.71,"96,051.00","5,158,899.21",8/16/2022
1.53,AMS SW,AMS-OSRAM AG,BPF0548,8.71,"586,301.00","5,107,546.95",8/16/2022
1.49,GFS,GLOBALFOUNDRIES INC,BMW7F63,63.96,"77,490.00","4,956,260.40",8/16/2022
1.49,2454 TT,MEDIATEK INC,6372480,23.53,"210,280.00","4,947,847.16",8/16/2022
1.32,ROK,ROCKWELL AUTOMATION INC,2754060,259.44,"16,946.00","4,396,470.24",8/16/2022
1.16,LAND SW,LANDIS+GYR GROUP AG,BF41XY8,62.38,"62,095.00","3,873,181.34",8/16/2022
1.1,IDCC,INTERDIGITAL INC,2465737,55.52,"66,047.00","3,666,929.44",8/16/2022
0.98,IOT,SAMSARA INC-CL A,BPK3058,16.86,"192,636.00","3,247,842.96",8/16/2022
0.96,LR FP,LEGRAND SA,B11ZRK9,82.43,"38,943.00","3,210,199.97",8/16/2022
0.91,VVNT,VIVINT SMART HOME INC,BKLPS43,6.8,"447,268.00","3,041,422.40",8/16/2022
