% of Net Assets,Ticker,Name,SEDOL,Market Price ($),Shares Held,Market Value ($),Date
0.85,6723 JP,RENESAS ELECTRONICS CORP,6635677,9.92,"284,070.00","2,817,764.71",8/16/2022
0.76,DGII,DIGI INTERNATIONAL INC,2269661,33.97,"74,599.00","2,534,128.03",8/16/2022
0.75,SWIR,SIERRA WIRELESS INC,2585259,30.68,"81,469.00","2,499,468.92",8/16/2022
0.71,KTN GR,KONTRON AG,4665933,16.65,"141,514.00","2,356,717.98",8/16/2022
0.63,PTC,PTC INC,B95N910,123.94,"16,997.00","2,106,608.18",8/16/2022
0.62,BFLY,BUTTERFLY NETWORK INC,BMHYQY4,7.88,"260,783.00","2,054,970.04",8/16/2022
0.47,NTGR,NETGEAR INC,2688363,25.84,"61,025.00","1,576,886.00",8/16/2022
0.46,SMRT,SMARTRENT INC,BPCHD26,3.66,"415,326.00","1,520,093.16",8/16/2022
0.4,VUZI,VUZIX CORP,B9GT0J2,9.86,"134,886.00","1,329,975.96",8/16/2022
0.39,ARLO,ARLO TECHNOLOGIES INC,BYWPZY9,7.04,"184,221.00","1,296,915.84",8/16/2022
0.38,LSCC,LATTICE SEMICOND,2506658,62.99,"19,954.00","1,256,902.46",8/16/2022
0.35,GSAT,GLOBALSTAR INC,B1GHPM8,1.73,"673,067.00","1,164,405.91",8/16/2022
0.34,BB,BLACKBERRY LTD,BCBHZ42,7.02,"159,445.00","1,119,303.90",8/16/2022
0.33,6929 JP,NIPPON CERAMIC CO LTD,6646561,18.69,"58,095.00","1,085,512.11",8/16/2022
0.32,REZI,RESIDEO TECHNOLOGIES INC,BFD1TJ6,23.56,"45,849.00","1,080,202.44",8/16/2022
0.32,IRDM,IRIDIUM COMMUNIC,B2QH310,46.18,"23,081.00","1,065,880.58",8/16/2022
0.31,SYNA,SYNAPTICS INC,2839268,144.22,"7,040.00","1,015,308.80",8/16/2022
0.29,SPT LN,SPIRENT COMM,472609,3.3,"295,027.00","972,647.85",8/16/2022
0.29,DAL IM,DATALOGIC SPA,B14P8W5,7.74,"125,105.00","967,861.40",8/16/2022
0.25,SMTC,SEMTECH CORP,2795542,54.69,"15,440.00","844,413.60",8/16/2022
0.24,LTCH,LATCH INC,BMZP9Z1,1.19,"672,074.00","799,768.06",8/16/2022
0.23,FINGB SS,FINGERPRINT CARDS AB-B,BD6S127,0.82,"941,142.00","772,849.78",8/16/2022
0.12,,CASH,,-1.05,"-390,898.83","409,659.69",8/16/2022
