% of Net Assets,Ticker,Name,SEDOL,Market Price ($),Shares Held,Market Value ($),Date
6.63,DXCM,DEXCOM INC,B0796X4,92.3,"240,184.00","22,167,782.28",8/15/2022
6.26,SWKS,SKYWORKS SOLUTIONS INC,2961053,112.55,"186,064.00","20,941,503.20",8/15/2022
5.85,STM FP,STMICROELECTRONICS NV,5962332,38.17,"512,181.00","19,549,052.56",8/15/2022
5.3,GRMN,GARMIN LTD,B3Z5T14,99.53,"178,077.00","17,724,003.81",8/15/2022
5.1,2395 TT,ADVANTECH CO LTD,6202673,11.37,"1,501,121.00","17,069,569.86",8/15/2022
4.56,ST,SENSATA TECHNOLO,BFMBMT8,45.54,"334,874.00","15,250,161.96",8/15/2022
4.49,ADT,ADT INC,BFWCP81,8.26,"1,817,004.00","15,008,453.04",8/15/2022
3.43,SLAB,SILICON LABORATORIES INC,2568131,146.92,"78,060.00","11,468,575.20",8/15/2022
2.45,ALRM,ALARM.COM HOLDINGS INC,BYN7H26,76.37,"107,072.00","8,177,088.64",8/15/2022
2.28,3529 TT,EMEMORY TECHNOLOGY INC,B2PXYH2,46.35,"164,582.00","7,628,684.14",8/15/2022
2.25,AMBA,AMBARELLA INC,B7KH3G6,92.35,"81,290.00","7,507,131.50",8/15/2022
2.12,QCOM,QUALCOMM INC,2714923,152.13,"46,622.00","7,092,604.86",8/15/2022
2.12,NOD NO,NORDIC SEMICONDUCTOR ASA,B00ZG06,17.16,"412,402.00","7,075,784.99",8/15/2022
2.11,JCI,JOHNSON CONTROLS,BY7QL61,58.79,"120,073.00","7,059,091.67",8/15/2022
2.08,ADI,ANALOG DEVICES INC,2032067,179.89,"38,590.00","6,941,955.10",8/15/2022
2.04,NXPI,NXP SEMICONDUCTORS NV,B505PN7,187.57,"36,299.00","6,808,603.43",8/15/2022
1.98,SU FP,SCHNEIDER ELECTRIC SE,4834108,138.42,"47,741.00","6,608,360.50",8/15/2022
1.98,BDC,BELDEN INC,B01WL78,70.01,"94,359.00","6,606,073.59",8/15/2022
1.96,ABBN SW,ABB LTD-REG,7108899,30.52,"215,200.00","6,568,399.19",8/15/2022
1.96,RMBS,RAMBUS INC,2721967,27.91,"235,007.00","6,559,045.37",8/15/2022
1.94,HON,HONEYWELL INTL,2020459,202.25,"32,061.00","6,484,337.25",8/15/2022
1.93,EMR,EMERSON ELECTRIC CO,2313405,88.84,"72,610.00","6,450,672.40",8/15/2022
1.9,BMI,BADGER METER INC,2069128,101.64,"62,536.00","6,356,159.04",8/15/2022
1.82,CSCO,CISCO SYSTEMS INC,2198163,46.59,"130,747.00","6,091,502.73",8/15/2022
1.68,IBM,IBM,2005973,134.93,"41,557.00","5,607,286.01",8/15/2022
1.59,ITRI,ITRON INC,2471949,55.26,"96,051.00","5,307,778.26",8/15/2022
1.57,PI,IMPINJ INC,BYYGJZ9,97.22,"54,073.00","5,256,977.06",8/15/2022
1.53,AMS SW,AMS-OSRAM AG,BPF0548,8.71,"586,301.00","5,109,558.24",8/15/2022
1.48,2454 TT,MEDIATEK INC,6372480,23.54,"210,280.00","4,950,569.56",8/15/2022
1.47,GFS,GLOBALFOUNDRIES INC,BMW7F63,63.23,"77,490.00","4,899,692.70",8/15/2022
1.31,ROK,ROCKWELL AUTOMATION INC,2754060,258.82,"16,946.00","4,385,963.72",8/15/2022
1.16,LAND SW,LANDIS+GYR GROUP AG,BF41XY8,62.35,"62,095.00","3,871,480.82",8/15/2022
1.1,IDCC,INTERDIGITAL INC,2465737,55.49,"66,047.00","3,664,948.03",8/15/2022
0.97,LR FP,LEGRAND SA,B11ZRK9,82.88,"38,943.00","3,227,649.45",8/15/2022
0.96,IOT,SAMSARA INC-CL A,BPK3058,16.72,"192,636.00","3,220,873.92",8/15/2022
