% of Net Assets,Ticker,Name,SEDOL,Market Price ($),Shares Held,Market Value ($),Date
0.88,VVNT,VIVINT SMART HOME INC,BKLPS43,6.54,"447,268.00","2,925,132.72",8/15/2022
0.87,6723 JP,RENESAS ELECTRONICS CORP,6635677,10.2,"284,070.00","2,896,559.16",8/15/2022
0.77,DGII,DIGI INTERNATIONAL INC,2269661,34.57,"74,599.00","2,578,887.43",8/15/2022
0.75,SWIR,SIERRA WIRELESS INC,2585259,30.75,"81,469.00","2,505,171.75",8/15/2022
0.72,KTN GR,KONTRON AG,4665933,16.91,"141,514.00","2,393,383.01",8/15/2022
0.66,BFLY,BUTTERFLY NETWORK INC,BMHYQY4,8.5,"260,783.00","2,216,655.50",8/15/2022
0.64,PTC,PTC INC,B95N910,125.16,"16,997.00","2,127,344.52",8/15/2022
0.47,NTGR,NETGEAR INC,2688363,25.68,"61,025.00","1,567,122.00",8/15/2022
0.41,SMRT,SMARTRENT INC,BPCHD26,3.28,"415,326.00","1,362,269.28",8/15/2022
0.4,VUZI,VUZIX CORP,B9GT0J2,9.85,"134,886.00","1,328,627.10",8/15/2022
0.39,ARLO,ARLO TECHNOLOGIES INC,BYWPZY9,7.05,"184,221.00","1,298,758.05",8/15/2022
0.38,LSCC,LATTICE SEMICOND,2506658,64.03,"19,954.00","1,277,654.62",8/15/2022
0.35,GSAT,GLOBALSTAR INC,B1GHPM8,1.75,"673,067.00","1,177,867.25",8/15/2022
0.33,BB,BLACKBERRY LTD,BCBHZ42,6.86,"159,445.00","1,093,792.70",8/15/2022
0.33,6929 JP,NIPPON CERAMIC CO LTD,6646561,18.76,"58,095.00","1,089,950.18",8/15/2022
0.32,REZI,RESIDEO TECHNOLOGIES INC,BFD1TJ6,23.52,"45,849.00","1,078,368.48",8/15/2022
0.32,IRDM,IRIDIUM COMMUNIC,B2QH310,46.67,"23,081.00","1,077,190.27",8/15/2022
0.31,SYNA,SYNAPTICS INC,2839268,146.83,"7,040.00","1,033,683.20",8/15/2022
0.29,SPT LN,SPIRENT COMM,472609,3.33,"295,027.00","983,649.05",8/15/2022
0.29,DAL IM,DATALOGIC SPA,B14P8W5,7.82,"125,105.00","978,219.78",8/15/2022
0.25,SMTC,SEMTECH CORP,2795542,55,"15,440.00","849,200.00",8/15/2022
0.23,FINGB SS,FINGERPRINT CARDS AB-B,BD6S127,0.82,"941,142.00","773,780.11",8/15/2022
0.21,LTCH,LATCH INC,BMZP9Z1,1.06,"672,074.00","712,398.44",8/15/2022
0.12,,CASH,,-1.08,"-384,929.22","415,617.52",8/15/2022
