% of Net Assets,Ticker,Name,SEDOL,Market Price ($),Shares Held,Market Value ($),Date
6.54,DXCM,DEXCOM INC,B0796X4,89.09,"241,936.00","21,554,078.24",8/5/2022
6.4,SWKS,SKYWORKS SOLUTIONS INC,2961053,112.66,"187,416.00","21,114,286.56",8/5/2022
5.98,STM FP,STMICROELECTRONICS NV,5962332,38.22,"515,909.00","19,719,207.09",8/5/2022
5.43,2395 TT,ADVANTECH CO LTD,6202673,11.83,"1,512,321.00","17,896,543.14",8/5/2022
5.31,GRMN,GARMIN LTD,B3Z5T14,97.6,"179,373.00","17,506,804.80",8/5/2022
4.63,ST,SENSATA TECHNOLO,BFMBMT8,45.27,"337,322.00","15,270,566.94",8/5/2022
4.45,ADT,ADT INC,BFWCP81,8.02,"1,830,292.00","14,678,941.84",8/5/2022
3.63,SLAB,SILICON LABORATORIES INC,2568131,152.3,"78,628.00","11,975,044.40",8/5/2022
2.38,ALRM,ALARM.COM HOLDINGS INC,BYN7H26,72.7,"107,856.00","7,841,131.20",8/5/2022
2.24,NOD NO,NORDIC SEMICONDUCTOR ASA,B00ZG06,17.79,"415,410.00","7,389,494.62",8/5/2022
2.21,AMBA,AMBARELLA INC,B7KH3G6,89.04,"81,882.00","7,290,773.28",8/5/2022
2.14,QCOM,QUALCOMM INC,2714923,150.21,"46,966.00","7,054,762.86",8/5/2022
2.09,ADI,ANALOG DEVICES INC,2032067,177.25,"38,870.00","6,889,707.50",8/5/2022
2.02,JCI,JOHNSON CONTROLS,BY7QL61,55.1,"120,953.00","6,664,510.30",8/5/2022
2.01,NXPI,NXP SEMICONDUCTORS NV,B505PN7,181.66,"36,563.00","6,642,034.58",8/5/2022
2,EMR,EMERSON ELECTRIC CO,2313405,90.39,"73,138.00","6,610,943.82",8/5/2022
1.98,3529 TT,EMEMORY TECHNOLOGY INC,B2PXYH2,39.39,"165,382.00","6,514,471.32",8/5/2022
1.96,SU FP,SCHNEIDER ELECTRIC SE,4834108,134.33,"48,093.00","6,460,180.76",8/5/2022
1.94,ABBN SW,ABB LTD-REG,7108899,29.49,"216,776.00","6,393,569.85",8/5/2022
1.93,RMBS,RAMBUS INC,2721967,26.88,"236,727.00","6,363,221.76",8/5/2022
1.93,BDC,BELDEN INC,B01WL78,66.8,"95,047.00","6,349,139.60",8/5/2022
1.88,HON,HONEYWELL INTL,2020459,192.27,"32,293.00","6,208,975.11",8/5/2022
1.84,BMI,BADGER METER INC,2069128,96.14,"62,992.00","6,056,050.88",8/5/2022
1.8,CSCO,CISCO SYSTEMS INC,2198163,45.01,"131,707.00","5,928,132.07",8/5/2022
1.68,IBM,IBM,2005973,132.48,"41,861.00","5,545,745.28",8/5/2022
1.57,PI,IMPINJ INC,BYYGJZ9,95.17,"54,465.00","5,183,434.05",8/5/2022
1.54,2454 TT,MEDIATEK INC,6372480,23.93,"211,880.00","5,071,285.36",8/5/2022
1.53,AMS SW,AMS-OSRAM AG,BPF0548,8.54,"590,581.00","5,041,014.26",8/5/2022
1.52,ITRI,ITRON INC,2471949,51.64,"96,755.00","4,996,428.20",8/5/2022
1.31,ROK,ROCKWELL AUTOMATION INC,2754060,252.24,"17,074.00","4,306,745.76",8/5/2022
1.26,GFS,GLOBALFOUNDRIES INC,BMW7F63,53.09,"78,058.00","4,144,099.22",8/5/2022
1.19,IDCC,INTERDIGITAL INC,2465737,59.11,"66,527.00","3,932,410.97",8/5/2022
1.19,LAND SW,LANDIS+GYR GROUP AG,BF41XY8,62.65,"62,543.00","3,918,473.97",8/5/2022
0.96,LR FP,LEGRAND SA,B11ZRK9,80.82,"39,231.00","3,170,479.91",8/5/2022
0.95,IOT,SAMSARA INC-CL A,BPK3058,16.17,"194,052.00","3,137,820.84",8/5/2022
0.85,6723 JP,RENESAS ELECTRONICS CORP,6635677,9.77,"286,150.00","2,795,007.57",8/5/2022
0.78,DGII,DIGI INTERNATIONAL INC,2269661,34.11,"75,143.00","2,563,127.73",8/5/2022
0.76,SWIR,SIERRA WIRELESS INC,2585259,30.57,"82,069.00","2,508,849.33",8/5/2022
0.73,SMRT,SMARTRENT INC,BPCHD26,5.72,"418,374.00","2,393,099.28",8/5/2022
0.71,VVNT,VIVINT SMART HOME INC,BKLPS43,5.17,"450,588.00","2,329,539.96",8/5/2022
0.67,KTN GR,KONTRON AG,4665933,15.5,"142,546.00","2,209,802.08",8/5/2022
0.63,PTC,PTC INC,B95N910,120.3,"17,125.00","2,060,137.50",8/5/2022
0.52,BFLY,BUTTERFLY NETWORK INC,BMHYQY4,6.58,"262,703.00","1,728,585.74",8/5/2022
0.48,NTGR,NETGEAR INC,2688363,25.9,"61,473.00","1,592,150.70",8/5/2022
0.42,ARLO,ARLO TECHNOLOGIES INC,BYWPZY9,7.42,"185,573.00","1,376,951.66",8/5/2022
0.39,LSCC,LATTICE SEMICOND,2506658,64.52,"20,098.00","1,296,722.96",8/5/2022
0.35,VUZI,VUZIX CORP,B9GT0J2,8.54,"135,878.00","1,160,398.12",8/5/2022
0.34,GSAT,GLOBALSTAR INC,B1GHPM8,1.65,"678,027.00","1,118,744.55",8/5/2022
0.33,BB,BLACKBERRY LTD,BCBHZ42,6.75,"160,621.00","1,084,191.75",8/5/2022
0.32,IRDM,IRIDIUM COMMUNIC,B2QH310,45.47,"23,249.00","1,057,132.03",8/5/2022
0.32,REZI,RESIDEO TECHNOLOGIES INC,BFD1TJ6,22.89,"46,169.00","1,056,808.41",8/5/2022
0.31,SYNA,SYNAPTICS INC,2839268,145.75,"7,088.00","1,033,076.00",8/5/2022
0.31,DAL IM,DATALOGIC SPA,B14P8W5,7.99,"126,017.00","1,006,885.72",8/5/2022
0.3,SPT LN,SPIRENT COMM,472609,3.35,"297,203.00","994,236.90",8/5/2022
0.28,6929 JP,NIPPON CERAMIC CO LTD,6646561,15.82,"58,519.00","925,702.31",8/5/2022
0.26,SMTC,SEMTECH CORP,2795542,55.74,"15,552.00","866,868.48",8/5/2022
0.26,FINGB SS,FINGERPRINT CARDS AB-B,BD6S127,0.89,"948,086.00","843,358.46",8/5/2022
0.22,LTCH,LATCH INC,BMZP9Z1,1.09,"677,034.00","737,967.06",8/5/2022
0.08,,CASH,,-0.48,"-541,801.43","258,711.32",8/5/2022
