% of Net Assets,Ticker,Name,SEDOL,Market Price ($),Shares Held,Market Value ($),Date
6.45,DXCM,DEXCOM INC,B0796X4,85.12,"241,936.00","20,593,592.32",8/9/2022
6.26,SWKS,SKYWORKS SOLUTIONS INC,2961053,106.79,"187,416.00","20,014,154.64",8/9/2022
5.85,STM FP,STMICROELECTRONICS NV,5962332,36.24,"515,909.00","18,694,113.11",8/9/2022
5.52,2395 TT,ADVANTECH CO LTD,6202673,11.65,"1,512,321.00","17,618,539.65",8/9/2022
5.34,GRMN,GARMIN LTD,B3Z5T14,95.12,"179,373.00","17,061,959.76",8/9/2022
4.59,ST,SENSATA TECHNOLO,BFMBMT8,43.51,"337,322.00","14,676,880.22",8/9/2022
4.5,ADT,ADT INC,BFWCP81,7.85,"1,830,292.00","14,367,792.20",8/9/2022
3.49,SLAB,SILICON LABORATORIES INC,2568131,141.62,"78,628.00","11,135,297.36",8/9/2022
2.43,ALRM,ALARM.COM HOLDINGS INC,BYN7H26,72.04,"107,856.00","7,769,946.24",8/9/2022
2.17,NOD NO,NORDIC SEMICONDUCTOR ASA,B00ZG06,16.69,"415,410.00","6,931,413.06",8/9/2022
2.14,AMBA,AMBARELLA INC,B7KH3G6,83.66,"81,882.00","6,850,248.12",8/9/2022
2.1,QCOM,QUALCOMM INC,2714923,142.51,"46,966.00","6,693,124.66",8/9/2022
2.07,ADI,ANALOG DEVICES INC,2032067,170.37,"38,870.00","6,622,281.90",8/9/2022
2.05,JCI,JOHNSON CONTROLS,BY7QL61,54.11,"120,953.00","6,544,766.83",8/9/2022
2.02,SU FP,SCHNEIDER ELECTRIC SE,4834108,133.94,"48,093.00","6,441,636.96",8/9/2022
2.01,3529 TT,EMEMORY TECHNOLOGY INC,B2PXYH2,38.83,"165,382.00","6,422,334.33",8/9/2022
2,ABBN SW,ABB LTD-REG,7108899,29.45,"216,776.00","6,384,467.45",8/9/2022
1.98,EMR,EMERSON ELECTRIC CO,2313405,86.59,"73,138.00","6,333,019.42",8/9/2022
1.97,BDC,BELDEN INC,B01WL78,66.31,"95,047.00","6,302,566.57",8/9/2022
1.96,HON,HONEYWELL INTL,2020459,194.09,"32,293.00","6,267,748.37",8/9/2022
1.96,NXPI,NXP SEMICONDUCTORS NV,B505PN7,171.04,"36,563.00","6,253,735.52",8/9/2022
1.91,BMI,BADGER METER INC,2069128,96.97,"62,992.00","6,108,334.24",8/9/2022
1.89,RMBS,RAMBUS INC,2721967,25.54,"236,727.00","6,046,007.58",8/9/2022
1.85,CSCO,CISCO SYSTEMS INC,2198163,44.92,"131,707.00","5,916,278.44",8/9/2022
1.7,IBM,IBM,2005973,129.47,"41,861.00","5,419,743.67",8/9/2022
1.56,PI,IMPINJ INC,BYYGJZ9,91.6,"54,465.00","4,988,994.00",8/9/2022
1.53,2454 TT,MEDIATEK INC,6372480,23.13,"211,880.00","4,901,490.67",8/9/2022
1.52,ITRI,ITRON INC,2471949,50.22,"96,755.00","4,859,036.10",8/9/2022
1.48,AMS SW,AMS-OSRAM AG,BPF0548,7.98,"590,581.00","4,715,222.52",8/9/2022
1.36,GFS,GLOBALFOUNDRIES INC,BMW7F63,55.67,"78,058.00","4,345,488.86",8/9/2022
1.31,ROK,ROCKWELL AUTOMATION INC,2754060,245.16,"17,074.00","4,185,861.84",8/9/2022
1.21,LAND SW,LANDIS+GYR GROUP AG,BF41XY8,61.79,"62,543.00","3,864,611.04",8/9/2022
1.14,IDCC,INTERDIGITAL INC,2465737,54.53,"66,527.00","3,627,717.31",8/9/2022
1,LR FP,LEGRAND SA,B11ZRK9,81.03,"39,231.00","3,178,778.21",8/9/2022
0.97,IOT,SAMSARA INC-CL A,BPK3058,16.04,"194,052.00","3,112,594.08",8/9/2022
0.88,6723 JP,RENESAS ELECTRONICS CORP,6635677,9.79,"286,150.00","2,801,068.17",8/9/2022
0.79,SWIR,SIERRA WIRELESS INC,2585259,30.69,"82,069.00","2,518,697.61",8/9/2022
0.77,DGII,DIGI INTERNATIONAL INC,2269661,32.81,"75,143.00","2,465,441.83",8/9/2022
0.76,VVNT,VIVINT SMART HOME INC,BKLPS43,5.41,"450,588.00","2,437,681.08",8/9/2022
0.7,KTN GR,KONTRON AG,4665933,15.77,"142,546.00","2,248,525.11",8/9/2022
0.68,SMRT,SMARTRENT INC,BPCHD26,5.19,"418,374.00","2,171,361.06",8/9/2022
0.64,PTC,PTC INC,B95N910,119.88,"17,125.00","2,052,945.00",8/9/2022
0.48,BFLY,BUTTERFLY NETWORK INC,BMHYQY4,5.86,"262,703.00","1,539,439.58",8/9/2022
0.48,NTGR,NETGEAR INC,2688363,24.86,"61,473.00","1,528,218.78",8/9/2022
0.42,ARLO,ARLO TECHNOLOGIES INC,BYWPZY9,7.18,"185,573.00","1,332,414.14",8/9/2022
0.39,LSCC,LATTICE SEMICOND,2506658,61.37,"20,098.00","1,233,414.26",8/9/2022
0.35,VUZI,VUZIX CORP,B9GT0J2,8.19,"135,878.00","1,112,840.82",8/9/2022
0.33,BB,BLACKBERRY LTD,BCBHZ42,6.59,"160,621.00","1,058,492.39",8/9/2022
0.33,GSAT,GLOBALSTAR INC,B1GHPM8,1.56,"678,027.00","1,057,722.12",8/9/2022
0.33,IRDM,IRIDIUM COMMUNIC,B2QH310,44.95,"23,249.00","1,045,042.55",8/9/2022
0.33,6929 JP,NIPPON CERAMIC CO LTD,6646561,17.84,"58,519.00","1,043,758.67",8/9/2022
0.32,REZI,RESIDEO TECHNOLOGIES INC,BFD1TJ6,22.25,"46,169.00","1,027,260.25",8/9/2022
0.31,SPT LN,SPIRENT COMM,472609,3.32,"297,203.00","985,766.99",8/9/2022
0.31,DAL IM,DATALOGIC SPA,B14P8W5,7.77,"126,017.00","979,727.13",8/9/2022
0.29,SYNA,SYNAPTICS INC,2839268,128.78,"7,088.00","912,792.64",8/9/2022
0.25,SMTC,SEMTECH CORP,2795542,51.25,"15,552.00","797,040.00",8/9/2022
0.24,FINGB SS,FINGERPRINT CARDS AB-B,BD6S127,0.82,"948,086.00","778,014.31",8/9/2022
0.24,LTCH,LATCH INC,BMZP9Z1,1.12,"677,034.00","758,278.08",8/9/2022
0.11,,CASH,,0.04,"8,913,099.52","349,557.63",8/9/2022
