% of Net Assets,Ticker,Name,SEDOL,Market Price ($),Shares Held,Market Value ($),Date
6.46,DXCM,DEXCOM INC,B0796X4,84.3,"240,184.00","20,247,511.20",8/22/2022
6.17,SWKS,SKYWORKS SOLUTIONS INC,2961053,103.87,"186,064.00","19,326,467.68",8/22/2022
5.79,STM FP,STMICROELECTRONICS NV,5962332,35.45,"512,181.00","18,157,269.74",8/22/2022
5.46,2395 TT,ADVANTECH CO LTD,6202673,11.4,"1,501,121.00","17,106,365.76",8/22/2022
5.36,GRMN,GARMIN LTD,B3Z5T14,94.3,"178,077.00","16,792,661.10",8/22/2022
4.53,ST,SENSATA TECHNOLO,BFMBMT8,42.41,"334,874.00","14,202,006.34",8/22/2022
4.42,ADT,ADT INC,BFWCP81,7.63,"1,817,004.00","13,863,740.52",8/22/2022
3.31,SLAB,SILICON LABORATORIES INC,2568131,133.03,"78,060.00","10,384,321.80",8/22/2022
2.44,ALRM,ALARM.COM HOLDINGS INC,BYN7H26,71.33,"107,072.00","7,637,445.76",8/22/2022
2.4,3529 TT,EMEMORY TECHNOLOGY INC,B2PXYH2,45.68,"164,582.00","7,518,530.52",8/22/2022
2.12,JCI,JOHNSON CONTROLS,BY7QL61,55.4,"120,073.00","6,652,044.20",8/22/2022
2.11,AMBA,AMBARELLA INC,B7KH3G6,81.29,"81,290.00","6,608,064.10",8/22/2022
2.11,QCOM,QUALCOMM INC,2714923,141.61,"46,622.00","6,602,141.42",8/22/2022
2.05,RMBS,RAMBUS INC,2721967,27.36,"235,007.00","6,429,791.52",8/22/2022
2.04,BDC,BELDEN INC,B01WL78,67.58,"94,359.00","6,376,781.22",8/22/2022
2.03,NOD NO,NORDIC SEMICONDUCTOR ASA,B00ZG06,15.39,"412,402.00","6,348,647.23",8/22/2022
2.02,HON,HONEYWELL INTL,2020459,197.84,"32,061.00","6,342,948.24",8/22/2022
2.02,ADI,ANALOG DEVICES INC,2032067,163.84,"38,590.00","6,322,585.60",8/22/2022
2,EMR,EMERSON ELECTRIC CO,2313405,86.25,"72,610.00","6,262,612.50",8/22/2022
2,NXPI,NXP SEMICONDUCTORS NV,B505PN7,172.52,"36,299.00","6,262,303.48",8/22/2022
1.99,CSCO,CISCO SYSTEMS INC,2198163,47.71,"130,747.00","6,237,939.37",8/22/2022
1.98,BMI,BADGER METER INC,2069128,99.39,"62,536.00","6,215,453.04",8/22/2022
1.96,ABBN SW,ABB LTD-REG,7108899,28.58,"215,200.00","6,150,486.37",8/22/2022
1.95,SU FP,SCHNEIDER ELECTRIC SE,4834108,128.15,"47,741.00","6,117,981.36",8/22/2022
1.8,IBM,IBM,2005973,135.55,"41,557.00","5,633,051.35",8/22/2022
1.58,PI,IMPINJ INC,BYYGJZ9,91.49,"54,073.00","4,947,138.77",8/22/2022
1.5,2454 TT,MEDIATEK INC,6372480,22.33,"210,280.00","4,694,779.23",8/22/2022
1.49,ITRI,ITRON INC,2471949,48.74,"96,051.00","4,681,525.74",8/22/2022
1.46,GFS,GLOBALFOUNDRIES INC,BMW7F63,59.04,"77,490.00","4,575,009.60",8/22/2022
1.42,AMS SW,AMS-OSRAM AG,BPF0548,7.6,"586,301.00","4,457,896.21",8/22/2022
1.32,ROK,ROCKWELL AUTOMATION INC,2754060,243.9,"16,946.00","4,133,129.40",8/22/2022
1.18,LAND SW,LANDIS+GYR GROUP AG,BF41XY8,59.54,"62,095.00","3,697,013.50",8/22/2022
1.14,IDCC,INTERDIGITAL INC,2465737,54.11,"66,047.00","3,573,803.17",8/22/2022
0.96,IOT,SAMSARA INC-CL A,BPK3058,15.57,"192,636.00","2,999,342.52",8/22/2022
0.95,LR FP,LEGRAND SA,B11ZRK9,76.18,"38,943.00","2,966,834.36",8/22/2022
0.9,6723 JP,RENESAS ELECTRONICS CORP,6635677,9.92,"284,070.00","2,818,232.82",8/22/2022
0.83,VVNT,VIVINT SMART HOME INC,BKLPS43,5.8,"447,268.00","2,594,154.40",8/22/2022
0.82,DGII,DIGI INTERNATIONAL INC,2269661,34.32,"74,599.00","2,560,237.68",8/22/2022
0.8,SWIR,SIERRA WIRELESS INC,2585259,30.82,"81,469.00","2,510,874.58",8/22/2022
0.69,KTN GR,KONTRON AG,4665933,15.2,"141,514.00","2,150,861.61",8/22/2022
0.63,PTC,PTC INC,B95N910,116.53,"16,997.00","1,980,660.41",8/22/2022
0.47,NTGR,NETGEAR INC,2688363,24.34,"61,025.00","1,485,348.50",8/22/2022
0.46,SMRT,SMARTRENT INC,BPCHD26,3.49,"415,326.00","1,449,487.74",8/22/2022
0.43,BFLY,BUTTERFLY NETWORK INC,BMHYQY4,5.21,"260,783.00","1,358,679.43",8/22/2022
0.39,ARLO,ARLO TECHNOLOGIES INC,BYWPZY9,6.59,"184,221.00","1,214,016.39",8/22/2022
0.38,LSCC,LATTICE SEMICOND,2506658,58.91,"19,954.00","1,175,490.14",8/22/2022
0.36,GSAT,GLOBALSTAR INC,B1GHPM8,1.67,"673,067.00","1,124,021.89",8/22/2022
0.34,6929 JP,NIPPON CERAMIC CO LTD,6646561,18.54,"58,095.00","1,077,331.20",8/22/2022
0.33,IRDM,IRIDIUM COMMUNIC,B2QH310,45.09,"23,081.00","1,040,722.29",8/22/2022
0.33,VUZI,VUZIX CORP,B9GT0J2,7.61,"134,886.00","1,026,482.46",8/22/2022
0.32,REZI,RESIDEO TECHNOLOGIES INC,BFD1TJ6,21.73,"45,849.00","996,298.77",8/22/2022
0.31,DAL IM,DATALOGIC SPA,B14P8W5,7.79,"125,105.00","975,044.95",8/22/2022
0.31,BB,BLACKBERRY LTD,BCBHZ42,6.1,"159,445.00","972,614.50",8/22/2022
0.29,SPT LN,SPIRENT COMM,472609,3.11,"295,027.00","917,632.97",8/22/2022
0.29,SYNA,SYNAPTICS INC,2839268,128.41,"7,040.00","904,006.40",8/22/2022
0.25,SMTC,SEMTECH CORP,2795542,51.37,"15,440.00","793,152.80",8/22/2022
