% of Net Assets,Ticker,Name,SEDOL,Market Price ($),Shares Held,Market Value ($),Date
6.59,DXCM,DEXCOM INC,B0796X4,89.73,"240,184.00","21,551,710.32",8/10/2022
6.32,SWKS,SKYWORKS SOLUTIONS INC,2961053,111.01,"186,064.00","20,654,964.64",8/10/2022
5.94,STM FP,STMICROELECTRONICS NV,5962332,37.92,"512,181.00","19,420,202.88",8/10/2022
5.36,GRMN,GARMIN LTD,B3Z5T14,98.32,"178,077.00","17,508,530.64",8/10/2022
5.2,2395 TT,ADVANTECH CO LTD,6202673,11.32,"1,501,121.00","16,995,143.02",8/10/2022
4.6,ST,SENSATA TECHNOLO,BFMBMT8,44.86,"334,874.00","15,022,447.64",8/10/2022
4.41,ADT,ADT INC,BFWCP81,7.94,"1,817,004.00","14,427,011.76",8/10/2022
3.5,SLAB,SILICON LABORATORIES INC,2568131,146.61,"78,060.00","11,444,376.60",8/10/2022
2.48,ALRM,ALARM.COM HOLDINGS INC,BYN7H26,75.86,"107,072.00","8,122,481.92",8/10/2022
2.22,AMBA,AMBARELLA INC,B7KH3G6,89.16,"81,290.00","7,247,816.40",8/10/2022
2.21,NOD NO,NORDIC SEMICONDUCTOR ASA,B00ZG06,17.52,"412,402.00","7,225,956.34",8/10/2022
2.1,QCOM,QUALCOMM INC,2714923,146.99,"46,622.00","6,852,967.78",8/10/2022
2.07,ADI,ANALOG DEVICES INC,2032067,175.08,"38,590.00","6,756,337.20",8/10/2022
2.04,JCI,JOHNSON CONTROLS,BY7QL61,55.45,"120,073.00","6,658,047.85",8/10/2022
2.03,SU FP,SCHNEIDER ELECTRIC SE,4834108,138.99,"47,741.00","6,635,597.07",8/10/2022
2.01,ABBN SW,ABB LTD-REG,7108899,30.54,"215,200.00","6,571,708.77",8/10/2022
2,NXPI,NXP SEMICONDUCTORS NV,B505PN7,179.97,"36,299.00","6,532,731.03",8/10/2022
1.95,BDC,BELDEN INC,B01WL78,67.61,"94,359.00","6,379,611.99",8/10/2022
1.93,EMR,EMERSON ELECTRIC CO,2313405,87.03,"72,610.00","6,318,885.25",8/10/2022
1.92,HON,HONEYWELL INTL,2020459,196.25,"32,061.00","6,291,971.25",8/10/2022
1.9,BMI,BADGER METER INC,2069128,99.28,"62,536.00","6,208,574.08",8/10/2022
1.88,3529 TT,EMEMORY TECHNOLOGY INC,B2PXYH2,37.29,"164,582.00","6,138,052.01",8/10/2022
1.87,RMBS,RAMBUS INC,2721967,26.04,"235,007.00","6,119,582.28",8/10/2022
1.84,CSCO,CISCO SYSTEMS INC,2198163,46.02,"130,747.00","6,016,976.94",8/10/2022
1.67,IBM,IBM,2005973,131.5,"41,557.00","5,464,745.50",8/10/2022
1.55,ITRI,ITRON INC,2471949,52.87,"96,051.00","5,078,216.37",8/10/2022
1.55,AMS SW,AMS-OSRAM AG,BPF0548,8.65,"586,301.00","5,072,565.37",8/10/2022
1.54,PI,IMPINJ INC,BYYGJZ9,93.1,"54,073.00","5,034,196.30",8/10/2022
1.43,2454 TT,MEDIATEK INC,6372480,22.24,"210,280.00","4,677,401.35",8/10/2022
1.37,GFS,GLOBALFOUNDRIES INC,BMW7F63,57.7,"77,490.00","4,471,173.00",8/10/2022
1.31,ROK,ROCKWELL AUTOMATION INC,2754060,253.61,"16,946.00","4,297,675.06",8/10/2022
1.21,LAND SW,LANDIS+GYR GROUP AG,BF41XY8,63.82,"62,095.00","3,962,878.26",8/10/2022
1.13,IDCC,INTERDIGITAL INC,2465737,56.09,"66,047.00","3,704,576.23",8/10/2022
0.99,LR FP,LEGRAND SA,B11ZRK9,83.4,"38,943.00","3,247,972.10",8/10/2022
0.97,IOT,SAMSARA INC-CL A,BPK3058,16.48,"192,636.00","3,174,641.28",8/10/2022
0.84,6723 JP,RENESAS ELECTRONICS CORP,6635677,9.63,"284,070.00","2,734,812.03",8/10/2022
0.8,VVNT,VIVINT SMART HOME INC,BKLPS43,5.83,"447,268.00","2,607,572.44",8/10/2022
0.77,DGII,DIGI INTERNATIONAL INC,2269661,33.74,"74,599.00","2,516,970.26",8/10/2022
0.77,SWIR,SIERRA WIRELESS INC,2585259,30.75,"81,469.00","2,505,171.75",8/10/2022
0.76,KTN GR,KONTRON AG,4665933,17.45,"141,514.00","2,469,281.33",8/10/2022
0.7,SMRT,SMARTRENT INC,BPCHD26,5.54,"415,326.00","2,300,906.04",8/10/2022
0.64,PTC,PTC INC,B95N910,123.02,"16,997.00","2,090,970.94",8/10/2022
