% of Net Assets,Ticker,Name,SEDOL,Market Price ($),Shares Held,Market Value ($),Date
0.53,BFLY,BUTTERFLY NETWORK INC,BMHYQY4,6.69,"260,783.00","1,744,638.27",8/10/2022
0.47,NTGR,NETGEAR INC,2688363,25.15,"61,025.00","1,534,778.75",8/10/2022
0.43,ARLO,ARLO TECHNOLOGIES INC,BYWPZY9,7.57,"184,221.00","1,394,552.97",8/10/2022
0.39,VUZI,VUZIX CORP,B9GT0J2,9.55,"134,886.00","1,288,161.30",8/10/2022
0.39,LSCC,LATTICE SEMICOND,2506658,64.37,"19,954.00","1,284,438.98",8/10/2022
0.34,BB,BLACKBERRY LTD,BCBHZ42,6.93,"159,445.00","1,104,953.85",8/10/2022
0.34,GSAT,GLOBALSTAR INC,B1GHPM8,1.64,"673,067.00","1,103,829.88",8/10/2022
0.33,6929 JP,NIPPON CERAMIC CO LTD,6646561,18.38,"58,095.00","1,068,024.64",8/10/2022
0.32,IRDM,IRIDIUM COMMUNIC,B2QH310,45.69,"23,081.00","1,054,570.89",8/10/2022
0.32,REZI,RESIDEO TECHNOLOGIES INC,BFD1TJ6,22.81,"45,849.00","1,045,815.69",8/10/2022
0.31,SPT LN,SPIRENT COMM,472609,3.41,"295,027.00","1,006,613.35",8/10/2022
0.31,DAL IM,DATALOGIC SPA,B14P8W5,7.97,"125,105.00","996,906.78",8/10/2022
0.3,SYNA,SYNAPTICS INC,2839268,139.84,"7,040.00","984,473.60",8/10/2022
0.25,SMTC,SEMTECH CORP,2795542,52.67,"15,440.00","813,224.80",8/10/2022
0.25,FINGB SS,FINGERPRINT CARDS AB-B,BD6S127,0.86,"941,142.00","808,645.32",8/10/2022
0.24,LTCH,LATCH INC,BMZP9Z1,1.18,"672,074.00","793,047.32",8/10/2022
0.13,,CASH,,-1.07,"-386,456.20","414,168.17",8/10/2022
