% of Net Assets,Ticker,Name,SEDOL,Market Price ($),Shares Held,Market Value ($),Date
6.48,DXCM,DEXCOM INC,B0796X4,88.14,"240,184.00","21,169,817.76",8/17/2022
6.2,SWKS,SKYWORKS SOLUTIONS INC,2961053,108.78,"186,064.00","20,240,041.92",8/17/2022
5.73,STM FP,STMICROELECTRONICS NV,5962332,36.52,"512,181.00","18,706,908.61",8/17/2022
5.38,GRMN,GARMIN LTD,B3Z5T14,98.67,"178,077.00","17,570,857.59",8/17/2022
5.24,2395 TT,ADVANTECH CO LTD,6202673,11.41,"1,501,121.00","17,121,340.07",8/17/2022
4.6,ST,SENSATA TECHNOLO,BFMBMT8,44.84,"334,874.00","15,015,750.16",8/17/2022
4.46,ADT,ADT INC,BFWCP81,8.02,"1,817,004.00","14,572,372.08",8/17/2022
3.36,SLAB,SILICON LABORATORIES INC,2568131,140.43,"78,060.00","10,961,965.80",8/17/2022
2.46,ALRM,ALARM.COM HOLDINGS INC,BYN7H26,75,"107,072.00","8,030,400.00",8/17/2022
2.31,3529 TT,EMEMORY TECHNOLOGY INC,B2PXYH2,45.86,"164,582.00","7,547,115.22",8/17/2022
2.18,AMBA,AMBARELLA INC,B7KH3G6,87.67,"81,290.00","7,126,694.30",8/17/2022
2.15,JCI,JOHNSON CONTROLS,BY7QL61,58.53,"120,073.00","7,027,872.69",8/17/2022
2.12,QCOM,QUALCOMM INC,2714923,148.53,"46,622.00","6,924,765.66",8/17/2022
2.03,NOD NO,NORDIC SEMICONDUCTOR ASA,B00ZG06,16.06,"412,402.00","6,625,068.00",8/17/2022
2.01,SU FP,SCHNEIDER ELECTRIC SE,4834108,137.66,"47,741.00","6,572,083.47",8/17/2022
2.01,ADI,ANALOG DEVICES INC,2032067,170.13,"38,590.00","6,565,316.70",8/17/2022
2,NXPI,NXP SEMICONDUCTORS NV,B505PN7,180.22,"36,299.00","6,541,805.78",8/17/2022
2,BDC,BELDEN INC,B01WL78,69.1,"94,359.00","6,520,206.90",8/17/2022
1.99,RMBS,RAMBUS INC,2721967,27.67,"235,007.00","6,502,643.69",8/17/2022
1.99,HON,HONEYWELL INTL,2020459,202.78,"32,061.00","6,501,329.58",8/17/2022
1.98,EMR,EMERSON ELECTRIC CO,2313405,88.86,"72,610.00","6,452,124.60",8/17/2022
1.97,ABBN SW,ABB LTD-REG,7108899,29.9,"215,200.00","6,433,988.99",8/17/2022
1.97,BMI,BADGER METER INC,2069128,102.61,"62,536.00","6,416,818.96",8/17/2022
1.87,CSCO,CISCO SYSTEMS INC,2198163,46.66,"130,747.00","6,100,655.02",8/17/2022
1.75,IBM,IBM,2005973,137.79,"41,557.00","5,726,139.03",8/17/2022
1.6,PI,IMPINJ INC,BYYGJZ9,96.37,"54,073.00","5,211,015.01",8/17/2022
1.55,ITRI,ITRON INC,2471949,52.6,"96,051.00","5,052,282.60",8/17/2022
1.51,2454 TT,MEDIATEK INC,6372480,23.45,"210,280.00","4,930,026.35",8/17/2022
1.47,AMS SW,AMS-OSRAM AG,BPF0548,8.16,"586,301.00","4,785,126.44",8/17/2022
1.46,GFS,GLOBALFOUNDRIES INC,BMW7F63,61.47,"77,490.00","4,763,310.30",8/17/2022
1.33,ROK,ROCKWELL AUTOMATION INC,2754060,255.91,"16,946.00","4,336,650.86",8/17/2022
1.17,LAND SW,LANDIS+GYR GROUP AG,BF41XY8,61.37,"62,095.00","3,810,708.10",8/17/2022
1.12,IDCC,INTERDIGITAL INC,2465737,55.37,"66,047.00","3,657,022.39",8/17/2022
0.97,LR FP,LEGRAND SA,B11ZRK9,81.34,"38,943.00","3,167,648.42",8/17/2022
0.96,IOT,SAMSARA INC-CL A,BPK3058,16.26,"192,636.00","3,132,261.36",8/17/2022
0.88,VVNT,VIVINT SMART HOME INC,BKLPS43,6.44,"447,268.00","2,880,405.92",8/17/2022
0.86,6723 JP,RENESAS ELECTRONICS CORP,6635677,9.94,"284,070.00","2,822,560.96",8/17/2022
0.77,DGII,DIGI INTERNATIONAL INC,2269661,33.84,"74,599.00","2,524,430.16",8/17/2022
0.77,SWIR,SIERRA WIRELESS INC,2585259,30.74,"81,469.00","2,504,357.06",8/17/2022
0.69,KTN GR,KONTRON AG,4665933,15.91,"141,514.00","2,252,120.65",8/17/2022
0.64,PTC,PTC INC,B95N910,122.47,"16,997.00","2,081,622.59",8/17/2022
0.54,BFLY,BUTTERFLY NETWORK INC,BMHYQY4,6.76,"260,783.00","1,762,893.08",8/17/2022
0.48,NTGR,NETGEAR INC,2688363,25.41,"61,025.00","1,550,645.25",8/17/2022
0.47,SMRT,SMARTRENT INC,BPCHD26,3.7,"415,326.00","1,536,706.20",8/17/2022
0.39,VUZI,VUZIX CORP,B9GT0J2,9.34,"134,886.00","1,259,835.24",8/17/2022
0.39,ARLO,ARLO TECHNOLOGIES INC,BYWPZY9,6.83,"184,221.00","1,258,229.43",8/17/2022
0.38,LSCC,LATTICE SEMICOND,2506658,61.52,"19,954.00","1,227,570.08",8/17/2022
0.36,GSAT,GLOBALSTAR INC,B1GHPM8,1.73,"673,067.00","1,164,405.91",8/17/2022
0.35,6929 JP,NIPPON CERAMIC CO LTD,6646561,19.45,"58,095.00","1,130,035.99",8/17/2022
0.33,BB,BLACKBERRY LTD,BCBHZ42,6.77,"159,445.00","1,079,442.65",8/17/2022
0.32,IRDM,IRIDIUM COMMUNIC,B2QH310,45.62,"23,081.00","1,052,955.22",8/17/2022
0.32,REZI,RESIDEO TECHNOLOGIES INC,BFD1TJ6,22.69,"45,849.00","1,040,313.81",8/17/2022
0.3,SYNA,SYNAPTICS INC,2839268,138.12,"7,040.00","972,364.80",8/17/2022
0.29,SPT LN,SPIRENT COMM,472609,3.24,"295,027.00","955,127.22",8/17/2022
0.29,DAL IM,DATALOGIC SPA,B14P8W5,7.6,"125,105.00","950,356.07",8/17/2022
0.25,SMTC,SEMTECH CORP,2795542,52.54,"15,440.00","811,217.60",8/17/2022
0.24,LTCH,LATCH INC,BMZP9Z1,1.15,"672,074.00","772,885.10",8/17/2022
0.23,FINGB SS,FINGERPRINT CARDS AB-B,BD6S127,0.79,"941,142.00","740,501.39",8/17/2022
0.12,,CASH,,-1.02,"-396,265.98","404,270.74",8/17/2022
